image_id,split,file_path,label
1ded74acec97f3d8a8ba483b85dad2c1,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/no_defects/20250514-143348_3.jpg,no_defects
7359bb756a2612ba1fae36e746790aa3,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/corrosion/my_photo-2.jpg,corrosion
8df5f16e9f3b6d54d5f6f47c5258d38d,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/no_defects/20250707-154908_3.jpg,no_defects
575bfb6798d42cbab4632b09ba23ae28,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/corrosion/20250630-095711_1.jpg,corrosion
f47ebfd414d9162eab5fba48b73b4be6,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/deformation/20250516-105300_4.jpg,deformation
3c9bc9876d726bd2f0b7b85ab69542e7,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/deformation/20250516-085730_9.jpg,deformation
ebe40789d48d2fc9659e366efb48ebd5,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/water_stain/20250709-151306_1.jpg,water_stain
9fd7637b293e1b72439fcdd625369320,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/water_stain/20240617-224328_3.jpg,water_stain
e29b0b8a0f9823894532a68db6c0082d,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/deformation/20250507-165335_5.jpg,deformation
3959a88e48eb6abf6d01ee680c0bd848,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/crack/20250630-095539_27.jpg,crack
19ab00e65784618f8428bc5752434a2c,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/deformation/20250506-160722_12.jpg,deformation
7f9345e0cd5b0d792d5f891d4d392d26,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/water_stain/20250521-114042_2.jpg,water_stain
7bdb11fb4237971712d94bcd884537fe,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/no_defects/20240617-224039_5.jpg,no_defects
6b76a2a52d0bc61e8f57df7a074f66b2,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/deformation/20250516-104736_9.jpg,deformation
864d766bff3cd947c3d5a29f36861be6,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/deformation/20250516-105256_2.jpg,deformation
63631981b558a5a74f0ff1edcde17d64,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/crack/20250516-105804_4.jpg,crack
d76ebd7c13696574daba8c0565b187ed,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/deformation/20250707-145818_4.jpg,deformation
9b82b4c6612a710c33cedc63feb73bac,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/deformation/20250513-165531_7.jpg,deformation
c5333b9682ed22b21029cdda25720dc1,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/deformation/20250707-153102_8.jpg,deformation
f4175b58918ee54718f880a31eb73055,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/crack/20250516-110159_3.jpg,crack
01d75f9077133aad2a2af712e85c16e8,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/deformation/20250521-115124_1.jpg,deformation
86402b78ac5fc6877e7ec49d231ed6cc,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/deformation/20250514-144909_0.jpg,deformation
32bb96f9063540ea59b9b1cbc01e06d3,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/deformation/20250707-143519_7.jpg,deformation
8a81e4e774ce73cba333937a7fdb0c0b,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/crack/20250506-161124_1.jpg,crack
e6fbebfef8ba15cab7db5f49da387306,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/deformation/20250513-163958_1.jpg,deformation
ced59c94033d07e9e5fb55bc94a40ebd,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/deformation/20250514-150014_8.jpg,deformation
c58e7771e25afb5555449bef32aa8981,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/deformation/20250612-111410_2.jpg,deformation
157ea011a41405edf9cc3478cd710954,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/water_stain/20250707-141153_4.jpg,water_stain
17d86f367d29255496e968e6e7ee26a3,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/silicate_stain/20250513-143217_9.jpg,silicate_stain
717a05607f04c3eb84f51b05fe435b74,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/other/20250521-170058_8.jpg,other
0e7dd7366c4c0ecfa6df4f2122d0df09,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/deformation/20250707-164437_6.jpg,deformation
cb68741b6171e724d845e9213e04e16e,train,/srv/defectDetectionDataset/multiclassClassification/full_clean/no_defects/20250513-110718_3.jpg,no_defects
