image_id,file_path,label,source,session_id,is_duplicate
cceb7a68017362c5744b985bd93d13df,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250516-105906_9.jpg,missing_part,old,unknown,False
d7663982a57d78f6bccd3c01187118e5,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250630-095928_4.jpg,missing_part,old,unknown,False
bf1916830f283ce6052537d52131c981,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250707-140539_3.jpg,missing_part,old,unknown,False
78f53bc72ddda1fa945d6fecfcb50c5c,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250630-095940_15.jpg,missing_part,old,unknown,False
4af7cd4bb96ace5b8eb96514abfe0d24,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250612-110413_5.jpg,missing_part,old,unknown,False
24e548f79f4b24d84a3bf2e834b0adf6,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250707-163036_1.jpg,missing_part,old,unknown,False
4c6099530ab8b8c9a325c8f1c3dc95ea,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250514-150320_8.jpg,missing_part,old,unknown,False
0b32a797207f2205c471aa4500d93297,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250707-140541_5.jpg,missing_part,old,unknown,False
3463b3ca20bdc785f5b65795ee6e9735,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250516-105130_7.jpg,missing_part,old,unknown,False
83bc44c2d58b9c1bfe3b72c0c0faf5d6,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250521-151421_8.jpg,missing_part,old,unknown,False
94424ba565efb52f156ec4598631d2f5,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250603-143419_52.jpg,missing_part,old,unknown,False
a65d999a61e049496a7c8c6e65001c53,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250612-110419_10.jpg,missing_part,old,unknown,False
c333732e6d69efc1aad74a17b002fbab,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250707-163042_7.jpg,missing_part,old,unknown,False
7a0d6333f8cefd907783dabe4bc12a22,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250516-105851_2.jpg,missing_part,old,unknown,False
66645ad6e661a7f0919c5d782859a760,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250521-151115_9.jpg,missing_part,old,unknown,False
65aa1da62cef8ea56b517599a8cdaa44,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250612-110428_19.jpg,missing_part,old,unknown,False
9789d7d5cb7eb20e1ee2ed51eee347bc,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250514-143013_2.jpg,missing_part,old,unknown,False
c52bda88ec2a0dfff7d54fe6df18d82b,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250612-110421_12.jpg,missing_part,old,unknown,False
0da2b70f1ab1cba4daad1bf5360bd0b4,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250612-110420_11.jpg,missing_part,old,unknown,False
06740c4949972139fbcc833be88b8a42,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250630-095114_12.jpg,missing_part,old,unknown,False
ddf507514cc30a3fa98d828ffcb43e69,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250514-152928_18.jpg,missing_part,old,unknown,False
42f1c5a555ea6dfed15dcf785011409b,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250521-114543_7.jpg,missing_part,old,unknown,False
08f3118b58d5834199c9a091a057d909,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250516-085541_5.jpg,missing_part,old,unknown,False
24e2cd9b0bec303dffd0960d6f1a7ae1,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250707-140537_1.jpg,missing_part,old,unknown,False
b5cb639ce1c023d1337c0a44a1ea913f,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250612-110425_16.jpg,missing_part,old,unknown,False
1266f1bf6d64f942d86fd45bb12b60ac,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250707-163016_7.jpg,missing_part,old,unknown,False
8c2d5fe46c180250eed28ab47a88b8f2,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250603-143304_15.jpg,missing_part,old,unknown,False
c6862968c73f909eec2d487539c43767,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250603-143335_30.jpg,missing_part,old,unknown,False
8d70353a0adb9d189a27453dec897a5f,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250514-143023_7.jpg,missing_part,old,unknown,False
a2e09ea6868cc8cd5951914959094519,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250521-151413_4.jpg,missing_part,old,unknown,False
fdaf5292f39b9ca7ae8b0c0c50940354,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20240617-224222_3.jpg,missing_part,old,unknown,False
f4560e8903c7949f49a5fbdf68bff3d7,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250516-110710_1.jpg,missing_part,old,unknown,False
465009f15f216024e33cc1df2f9dd026,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250514-150308_2.jpg,missing_part,old,unknown,False
b3aa00bb29dcdce7cd9ddd737ad771cd,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250516-110901_2.jpg,missing_part,old,unknown,False
d44d8347f414995e107b01590df91e32,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250516-105855_4.jpg,missing_part,old,unknown,False
48340c6867db7f062691f1e69f7bb475,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250516-105116_0.jpg,missing_part,old,unknown,False
8bffcec86894f04c8572f1398e0d8ae0,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250603-143431_58.jpg,missing_part,old,unknown,False
5316f15b2e72260129db056897b9bb1d,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250707-163039_4.jpg,missing_part,old,unknown,False
f9beb8857a2f501b17f867750400d8bc,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20240617-224052_1.jpg,missing_part,old,unknown,False
a3bd1de7633539e7536f4c88f3079a07,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250516-105901_7.jpg,missing_part,old,unknown,False
fbc790ef2996cb3b588b2885717a3166,/srv/defectDetectionDataset/surface_baseline_no_empty/missing_part/20250514-142945_3.jpg,missing_part,old,unknown,False
