cluster_id,image_id,threshold,edge_mode,file_path,label,is_duplicate
0,0d66fc1f158fdd348e450b0b92125f47,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/Rust/20250709-151111_1.jpg,Rust,False
0,14d7313fb84835596505aa62ef970445,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/NoDeficiencies/20250709-151645_1.jpg,NoDeficiencies,False
0,19113a88dc50b8332a7fae3052634849,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/NoDeficiencies/20250709-151054_1.jpg,NoDeficiencies,False
0,2bee6285d6b7387d7574f40a4baa503d,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/Rust/20250709-151110_0.jpg,Rust,False
0,440377f83671f8679bd7cc4695e3db7e,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/NoDeficiencies/20250709-151100_7.jpg,NoDeficiencies,False
0,56a49d637d8ae40663215fa763391e1d,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/NoDeficiencies/20250709-151646_2.jpg,NoDeficiencies,False
0,5713f5309008c8e6f007e8fba82b5865,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/NoDeficiencies/20250709-151644_0.jpg,NoDeficiencies,False
0,5fff236e696f0686e161784f70090992,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/NoDeficiencies/20250709-151055_2.jpg,NoDeficiencies,False
0,62949ec610cdf0405c12a2b238c292b1,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/NoDeficiencies/20250709-151650_5.jpg,NoDeficiencies,False
0,7cc7b103de78ac93721eedd382e97bd3,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/Rust/20250709-151117_7.jpg,Rust,False
0,88e45262b64d00c8262d304d998c8cf3,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/NoDeficiencies/20250709-151647_3.jpg,NoDeficiencies,False
0,8b464ea7e24db02aee540623124a5dbb,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/NoDeficiencies/20250709-151648_4.jpg,NoDeficiencies,False
0,8d79111239a922e35c141e371848f658,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/NoDeficiencies/20250709-151053_0.jpg,NoDeficiencies,False
0,9b5c6a4489b6d6b255e2f34ccce3441a,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/NoDeficiencies/20250709-151651_6.jpg,NoDeficiencies,False
0,aa7c529d2a8875251ef9072d8ea21d5a,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/NoDeficiencies/20250709-151057_4.jpg,NoDeficiencies,False
0,adf4cf7111974bb4acac7807c94bfea7,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/Rust/20250709-151116_6.jpg,Rust,False
0,b4f4465dc8500d968c94a775f009980c,0.995,mutual,/srv/defectDetectionDataset/multiclassClassification/baseline/Rust/20250709-151114_4.jpg,Rust,False
